ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6401,2020-12-03 18:33:42:805
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6401,2020-12-03 18:33:42:805
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6401,2020-12-03 18:33:42:805
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6401,2020-12-03 18:33:42:805
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6402,2020-12-03 18:33:42:806
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6402,2020-12-03 18:33:42:806
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6402,2020-12-03 18:33:42:806
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6402,2020-12-03 18:33:42:806
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6407,2020-12-03 18:33:42:811
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6407,2020-12-03 18:33:42:811
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6407,2020-12-03 18:33:42:811
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6408,2020-12-03 18:33:42:812
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6408,2020-12-03 18:33:42:812
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6408,2020-12-03 18:33:42:812
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6408,2020-12-03 18:33:42:812
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6408,2020-12-03 18:33:42:812
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6408,2020-12-03 18:33:42:812
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6408,2020-12-03 18:33:42:812
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6408,2020-12-03 18:33:42:812
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6409,2020-12-03 18:33:42:813
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6409,2020-12-03 18:33:42:813
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6409,2020-12-03 18:33:42:813
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6409,2020-12-03 18:33:42:813
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6409,2020-12-03 18:33:42:813
